Time,Object,Mass,X,Y,VX,VY,AX,AY
0.150,1,1000.000000,0.449,-4.972,2.983,0.400,-0.225,2.667
0.150,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.150,3,1000.000000,-0.819,1.827,-5.117,-2.430,6.374,-15.371
0.160,1,1000.000000,0.479,-4.968,2.981,0.427,-0.241,2.667
0.160,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.160,3,1000.000000,-0.870,1.803,-5.049,-2.582,6.808,-15.190
0.170,1,1000.000000,0.509,-4.964,2.978,0.454,-0.257,2.667
0.170,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.170,3,1000.000000,-0.921,1.777,-4.977,-2.732,7.238,-14.998
0.180,1,1000.000000,0.539,-4.959,2.975,0.480,-0.273,2.667
0.180,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.180,3,1000.000000,-0.970,1.750,-4.900,-2.880,7.664,-14.795
0.190,1,1000.000000,0.568,-4.954,2.973,0.507,-0.290,2.667
0.190,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.190,3,1000.000000,-1.019,1.721,-4.819,-3.026,8.085,-14.580
0.200,1,1000.000000,0.598,-4.949,2.969,0.534,-0.306,2.666
0.200,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.200,3,1000.000000,-1.068,1.691,-4.734,-3.169,8.501,-14.353
0.210,1,1000.000000,0.628,-4.944,2.966,0.560,-0.322,2.666
0.210,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.210,3,1000.000000,-1.115,1.659,-4.645,-3.311,8.912,-14.115
0.220,1,1000.000000,0.658,-4.938,2.963,0.587,-0.339,2.666
0.220,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.220,3,1000.000000,-1.161,1.626,-4.552,-3.449,9.317,-13.865
0.230,1,1000.000000,0.687,-4.932,2.959,0.614,-0.355,2.666
0.230,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.230,3,1000.000000,-1.207,1.591,-4.455,-3.585,9.717,-13.604
0.240,1,1000.000000,0.717,-4.926,2.956,0.640,-0.371,2.665
0.240,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.240,3,1000.000000,-1.251,1.556,-4.353,-3.719,10.110,-13.331
0.250,1,1000.000000,0.746,-4.920,2.952,0.667,-0.388,2.665
0.250,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.250,3,1000.000000,-1.295,1.518,-4.249,-3.849,10.496,-13.047
0.260,1,1000.000000,0.776,-4.913,2.948,0.694,-0.404,2.665
0.260,2,1000000000000.000000,-0.000,0.000,-0.000,0.000,-0.000,0.000
0.260,3,1000.000000,-1.337,1.480,-4.140,-3.977,10.875,-12.752
